name,slug,file,aliases,city,w,h
Pratt,pratt,pratt.png,,Pratt,400,400
Remington,remington,frederic-remington.png,,Whitewater,256,125
Republic County,republic-county,republic-county.png,,Belleville,93,83
Riverside,riverside,riverside.png,,Wathena,400,400
Rock Creek,rock-creek,rock-creek.png,,St. George,400,400
Rock Hills,rock-hills,,,Mankato,300,300
Rose Hill,rose-hill,rose-hill.png,,Rose Hill,400,400
Rossville,rossville,rossville.png,,Rossville,262,262
Royal Valley,royal-valley,royal-valley.png,,Hoyt,180,180
Russell,russell,russell.png,,Russell,130,80
Sacred Heart,sacred-heart,sacred-heart.png,,Salina,299,299
Salina Central,salina-central,salina-central.png,,Salina,128,128
Salina South,salina-south,salina-south.png,,Salina,246,279
Satanta,satanta,,,Satanta,300,300
Seaman,seaman,seaman.png,,Topeka,299,255
Shawnee Heights,shawnee-heights,shawnee-heights.png,,Tecumseh,400,400
Shawnee Mission North,shawnee-mission-north,shawnee-mission-north.png,SM North; SMN,Overland Park,329,329
Shawnee Mission West,shawnee-mission-west,shawnee-mission-west.png,SM West; SMW,Shawnee Mission,340,340
Silver Lake,silver-lake,silver-lake.png,,,200,150
Smoky Valley,smoky-valley,smoky-valley.png,,Lindsborg,144,144
South Barber,south-barber,,,Kiowa,300,300
South Central,south-central,,,Coldwater,300,300
South Sumner County,south-sumner-county,,,South Haven,400,400
Southeast,southeast,southeast.png,,Cherokee,400,400
Southeast Saline,southeast-saline,,,Gypsum,300,300
Southwestern Heights,southwestern-heights,southwestern-heights.png,,Kismet,310,310
Spearville,spearville,spearville.png,,Spearville,400,400
St. Francis,st-francis,,,St. Francis,300,300
St. James Academy,st-james-academy,st-james-academy.png,St. James; StJames,Lenexa,270,270
St. Mary's,st-mary-s,st-mary-s.png,,St. Marys,300,300
St. Paul,st-paul,,,St. Paul,300,300
St. Thomas Aquinas,st-thomas-aquinas,st-thomas-aquinas.png,Aquinas; STA,Overland Park,187,173
Stafford,stafford,stafford.png,,Stafford,400,400
Stanton County,stanton-county,stanton-county.png,,Johnson City,400,400
Sterling,sterling,sterling.png,,Sterling,400,400
Stockton,stockton,,,Stockton,300,300
Sunrise Christian Academy,sunrise-christian-academy,sunrise-christian-academy.png,,Bel Aire,225,225
Tonganoxie,tonganoxie,tonganoxie.png,,Tonganoxie,400,400
Topeka High,topeka-high,topeka-high.png,,,200,150
Topeka West,topeka-west,topeka-west.png,,Topeka,400,400
Udall,udall,udall.png,,Udall,174,174
Ulysses,ulysses,ulysses.png,,Ulysses,372,372
Uniontown,uniontown,uniontown.png,,Uniontown,200,200
Valley Center,valley-center,valley-center.png,,Valley Center,104,104
Valley Falls,valley-falls,valley-falls.png,,Valley Falls,400,400
Valley Heights,valley-heights,valley-heights.png,,Blue Rapids,177,109
Victoria,victoria,,,Victoria,300,300
WaKeeney-Trego,wakeeney-trego,wakeeney-trego.png,,Wakeneeny,400,400
Wakefield,wakefield,,,Wakefield,300,300
Wamego,wamego,wamego.png,,Wamego,173,173
Washburn Rural,washburn-rural,washburn-rural.png,,Topeka,400,400
Washington County,washington-county,washington-county.png,,Washington,400,400
Western Plains,western-plains,western-plains.png,,Ransom,100,100
Wichita Collegiate,wichita-collegiate,,,Wichita,300,300
Wichita East,wichita-east,wichita-east.png,,Wichita,84,80
Wichita Independent,wichita-independent,,,Wichita,100,100
Wichita North,wichita-north,wichita-north.png,,Wichita,270,270
Wichita Northwest,wichita-northwest,,,Wichita,400,400
Wichita South,wichita-south,wichita-south.png,,Wichita,300,231
Wichita Southeast,wichita-southeast,wichita-southeast.png,Wichita SE,Wichita,400,400
Wichita Trinity,wichita-trinity,wichita-trinity.png,Wichita Trinity Academy,Wichita,255,255
Wilson,wilson,,,Wilson,300,300
Winfield,winfield,,,Winfield,300,300
